Token           Lexeme
______________________

Separator       #
Identifier      include
Operator        <
Identifier      iostream
Operator        >
Separator       #
Identifier      include
Operator        <
Identifier      string
Operator        >
Separator       #
Identifier      include
Operator        <
Identifier      cmath
Operator        >
Separator       #
Identifier      include
Operator        <
Identifier      array
Operator        >
Separator       #
Identifier      include
Operator        <
Identifier      iomanip
Operator        >
Identifier      using
Identifier      namespace
Identifier      std
Separator       ;
Keyword         int
Identifier      main
Separator       (
Separator       )
Separator       {
Keyword         int
Identifier      leftOp
Separator       ,
Identifier      rightOp
Separator       ;
Identifier      char
Identifier      operation
Separator       ;
Identifier      cout
Operator        <
Operator        <
Unknown:         "
Operator        *
Operator        *
Operator        *
Identifier      MAIN
Identifier      MENU
Operator        *
Operator        *
Operator        *
Unknown:         "
Operator        <
Operator        <
Identifier      endl
Separator       ;
Identifier      cout
Operator        <
Operator        <
Unknown:         "
Identifier      A
Real            .
Identifier      Addition
Unknown:         "
Operator        <
Operator        <
Identifier      endl
Separator       ;
Identifier      cout
Operator        <
Operator        <
Unknown:         "
Identifier      B
Real            .
Identifier      Subtraction
Unknown:         "
Operator        <
Operator        <
Identifier      endl
Separator       ;
Identifier      cout
Operator        <
Operator        <
Unknown:         "
Identifier      C
Real            .
Identifier      Multiplication
Unknown:         "
Operator        <
Operator        <
Identifier      endl
Separator       ;
Identifier      cout
Operator        <
Operator        <
Unknown:         "
Identifier      D
Real            .
Identifier      Division
Unknown:         "
Operator        <
Operator        <
Identifier      endl
Separator       ;
Identifier      cout
Operator        <
Operator        <
Unknown:         "
Identifier      E
Real            .
Identifier      Modulus
Unknown:         "
Operator        <
Operator        <
Identifier      endl
Separator       ;
Identifier      cout
Operator        <
Operator        <
Unknown:         "
Identifier      Enter
Identifier      menu
Identifier      choice
Separator       :
Unknown:         "
Separator       ;
Identifier      cin
Operator        >
Operator        >
Identifier      operation
Separator       ;
Keyword         if
Separator       (
Separator       (
Identifier      operation
Operator        ==
Unknown:         '
Identifier      A
Unknown:         '
Separator       )
Separator       |
Separator       |
Separator       (
Identifier      operation
Operator        ==
Unknown:         '
Identifier      a
Unknown:         '
Separator       )
Separator       )
Separator       {
Identifier      cout
Operator        <
Operator        <
Identifier      endl
Operator        <
Operator        <
Unknown:         "
Identifier      Enter
Identifier      left
Identifier      operand
Separator       :
Unknown:         "
Separator       ;
Identifier      cin
Operator        >
Operator        >
Identifier      leftOp
Separator       ;
Identifier      cout
Operator        <
Operator        <
Identifier      endl
Operator        <
Operator        <
Unknown:         "
Identifier      Enter
Identifier      right
Identifier      operand
Separator       :
Unknown:         "
Operator        <
Operator        <
Identifier      endl
Separator       ;
Identifier      cin
Operator        >
Operator        >
Identifier      rightOp
Separator       ;
Identifier      double
Identifier      addition
Separator       ;
Identifier      addition
Operator        =
Identifier      leftOp
Operator        +
Identifier      rightOp
Separator       ;
Identifier      cout
Operator        <
Operator        <
Identifier      leftOp
Operator        <
Operator        <
Unknown:         "
Operator        +
Unknown:         "
Operator        <
Operator        <
Identifier      rightOp
Operator        <
Operator        <
Unknown:         "
Operator        =
Unknown:         "
Operator        <
Operator        <
Identifier      addition
Separator       ;
Separator       }
Keyword         else
Keyword         if
